district_name,district_id,tehsil_name,tehsil_id,sro_name,sro_id
AJMER,1,AJMER,1,AJMER-I,1
AJMER,1,AJMER,1,AJMER-II,2
AJMER,1,AJMER,1,ARARKA,4
AJMER,1,AJMER,1,SARADHNA,5
AJMER,1,ARAIN,14,ARAIN,181
AJMER,1,KISHANGARH,6,KISHANGARH,6
AJMER,1,NASIRABAD,4,NASIRABAD,346
AJMER,1,NASIRABAD,4,SRINAGAR,270
AJMER,1,PISANGAN,8,PISHANGAN,350
AJMER,1,PUSHKAR,16,PUSHKAR,351
AJMER,1,RUPANGARH,11,RUPANGARH,352
ALWAR,5,ALWAR,1,ARAIN,181
ALWAR,5,GOVINDGARH,15,GOVINDGARH,361
ALWAR,5,KHATHUMAR,12,BHANOKHAR,360
ALWAR,5,KHATHUMAR,12,KATHUMAR,214
ALWAR,5,KHATHUMAR,12,KHERLI MANDI,538
ALWAR,5,LAXMANGARH,11,ARAIN,181
ALWAR,5,MALAKHADA,14,ARAIN,181
ALWAR,5,NAUGAON,22,NAUGAON,603
ALWAR,5,PRATAPGARH,26,PRATAPGARH,651
ALWAR,5,RAINI,13,RAINI,210
ALWAR,5,RAJGARH,4,ARAIN,181
ALWAR,5,RAMGARH,2,RAMGARH,125
ALWAR,5,RAMGARH,2,SAHDOLI,650
ALWAR,5,Tehla,21,TEHLA,295
ALWAR,5,THANAGAJI,3,THANAGAZI,211
ANUPGARH,34,ANUPGARH,6,ANUPGARH,124
ANUPGARH,34,GHADSANA,4,GHADSANA,203
ANUPGARH,34,RAISINGH NAGAR,7,MUKLAVA,412
ANUPGARH,34,RAISINGH NAGAR,7,RAISINGH NAGAR,291
ANUPGARH,34,RAISINGH NAGAR,7,SAMEJA,413
ANUPGARH,34,RAWLA,5,365HANDMANDI,205
ANUPGARH,34,RAWLA,5,RAWLA,204
ANUPGARH,34,SRI VIJAYNAGAR,3,JETSAR,118
ANUPGARH,34,SRI VIJAYNAGAR,3,SHRI VIJANAGAR,117
BALOTRA,35,BAITU,6,BAITU,84
BALOTRA,35,GIDA,7,GIDA,133
BALOTRA,35,GIDA,7,HIRA KI DHANI,660
BALOTRA,35,JASOL,1,JASOL,131
BALOTRA,35,KALYANPUR,3,KALYANPUR,141
BALOTRA,35,PACHPADRA,2,DUDAWA,555
BALOTRA,35,PACHPADRA,2,PACHPADRA,82
BALOTRA,35,PATODI,9,PATODI,142
BALOTRA,35,SAMDARI,5,SAMDARI,132
BALOTRA,35,SINDHARI,8,SINDRI,81
BALOTRA,35,SIWANA,4,SIWANA,96
BANSWARA,24,AMBAPURA,13,AMBAPURA,340
BANSWARA,24,ANANDPURI,11,ANANDPURI,363
BANSWARA,24,ARTHUNA,12,ARTHUNA,534
BANSWARA,24,BAGIDOORA,2,BAGIDORA,121
BANSWARA,24,BANSWARA,1,BANSWARA,74
BANSWARA,24,CHOTISARVAN,6,CHOTI SARWAN,369
BANSWARA,24,GADI,3,GADHI,368
BANSWARA,24,GANGADTALAI,8,GANGADTALAI,367
BANSWARA,24,GANODA,10,GANODA,366
BANSWARA,24,GHATOL,4,GHATOL,122
BANSWARA,24,KUSHALGARH,5,KUSALGARH,365
BANSWARA,24,SAJJANGARH,7,DUNGRA CHHOTA,649
BANSWARA,24,SAJJANGARH,7,SAJJANGARH,364
BARAN,29,ANTA,3,ANTA,310
BARAN,29,ANTA,3,MIRJAPUR,659
BARAN,29,ATARU,2,ATRU,336
BARAN,29,ATARU,2,BADORA,618
BARAN,29,ATARU,2,KAVAI,332
BARAN,29,BARAN,1,BARAN,116
BARAN,29,BARAN,1,KOYALA,595
BARAN,29,CHHABARA,5,CHABRA,335
BARAN,29,CHHIPABAHOD,6,CHIPA BAROD,334
BARAN,29,CHHIPABAHOD,6,HARNAVADA SHAHJI,333
BARAN,29,KISHANGANJ,7,KISHANGANJ,311
BARAN,29,KISHANGANJ,7,NAHARGADH,312
BARAN,29,KISHANGANJ,7,RELAWAN,637
BARAN,29,MANGROL,4,MANGROL,313
BARAN,29,MANGROL,4,SEESWALI,314
BARAN,29,SHAHBAD,8,KELWADA,320
BARAN,29,SHAHBAD,8,SHAHBAD,319
